"ID","tau","sl","sen"
"1",0.0610812120139599,0.0170776844024658,0.00117543859649123
"2",1,1,NA
"3",1,1,NA
"4",1,1,NA
"5",1,1,NA
"6",1,1,NA
"7",1,1,NA
"8",1,1,NA
"9",1,1,NA
"10",1,1,NA
"11",1,1,NA
"12",1,1,NA
"13",1,1,NA
"14",1,1,NA
"15",1,1,NA
"16",0.0844971910119057,0.000973224639892578,0.000911458333333337
"17",0.0849417150020599,0.000914812088012695,0.000920138888888891
"18",0.0833260118961334,0.0011436939239502,0.000935550935550934
"19",0.0843173712491989,0.000997424125671387,0.000981595092024535
"20",0.0855148881673813,0.00084376335144043,0.00100694444444445
"21",0.0847031027078629,0.000944972038269043,0.00101190476190477
"22",0.0800767615437508,0.00177383422851562,0.000963455149501658
"23",0.0744257494807243,0.00366723537445068,0.000895522388059704
"24",0.0704597234725952,0.00595366954803467,0.000845070422535243
"25",0.0657842829823494,0.0102307796478271,0.000807291666666663
"26",0.0615656040608883,0.0162445306777954,0.000752864157119478
"27",0.0574929900467396,0.0248191356658936,0.000705128205128201
"28",0.0534085854887962,0.0370966196060181,0.000650406504065041
"29",0.0527366399765015,0.0395467281341553,0.000628803245436103
"30",0.0526985190808773,0.0396761894226074,0.000604838709677414
"31",0.0498879626393318,0.0514867305755615,0.00058620689655173
"32",0.0457298532128334,0.0742826461791992,0.000539568345323736
"33",0.0444575846195221,0.0826703310012817,0.000526315789473688
"34",0.0439665839076042,0.0861526727676392,0.000521472392638042
"35",0.0425802655518055,0.0965049266815186,0.000500000000000007
"36",0.0403428450226784,0.115322470664978,0.000486322188449848
"37",0.0427104718983173,0.0954641103744507,0.00052380952380953
"38",0.0454867891967297,0.0757970809936523,0.000593749999999993
"39",0.0480155684053898,0.0608785152435303,0.000632603406326029
"40",0.0494579672813416,0.0535149574279785,0.000659340659340658
"41",0.0491153113543987,0.0552020072937012,0.000668058455114823
"42",0.0527442246675491,0.0394985675811768,0.000666666666666652
"43",0.0567804425954819,0.0266724824905396,0.000666666666666667
"44",1,1,NA
"45",1,1,NA
"46",1,1,NA
"47",1,1,NA
"48",1,1,NA
"49",1,1,NA
"50",1,1,NA
"51",1,1,NA
"52",1,1,NA
"53",1,1,NA
"54",0.0800222679972649,0.0017850399017334,0.000949074074074074
"55",0.0801191702485085,0.00176370143890381,0.000933014354066987
"56",0.0803198739886284,0.00171780586242676,0.00093971631205674
"57",0.0811850354075432,0.00152993202209473,0.000955223880597016
"58",0.0811820924282074,0.00152814388275146,0.000960000000000008
"59",1,1,NA
"60",1,1,NA
"61",0.099581316113472,0.000101447105407715,0.00114446529080675
"62",0.100143998861313,9.2625617980957e-05,0.0011704834605598
"63",0.0997110530734062,9.93013381958008e-05,0.00117794486215539
"64",0.0994399562478065,0.00010371208190918,0.00118942731277534
"65",0.100791811943054,8.33272933959961e-05,0.00120481927710843
"66",0.103248417377472,5.57899475097656e-05,0.00121527777777778
"67",0.0579936951398849,0.0235500335693359,0.0010760667903525
"68",1,1,NA
"69",1,1,NA
"70",1,1,NA
"71",1,1,NA
"72",1,1,NA
"73",1,1,NA
"74",1,1,NA
"75",1,1,NA
"76",1,1,NA
"77",1,1,NA
"78",1,1,NA
"79",1,1,NA
"80",1,1,NA
"81",1,1,NA
"82",0.0741499364376068,0.0037994384765625,0.000857142857142853
"83",0.0744142904877663,0.00367510318756104,0.000883977900552487
"84",0.0749349519610405,0.0034412145614624,0.000918544194107448
"85",0.0778497382998466,0.00237321853637695,0.000977443609022549
"86",0.081700325012207,0.00142538547515869,0.00104166666666668
"87",0.0841691419482231,0.00101721286773682,0.00108635097493036
"88",0.0818647965788841,0.00139415264129639,0.00106870229007633
"89",0.077713280916214,0.00241470336914062,0.0010344827586207
"90",0.0753825232386589,0.00325250625610352,0.00100574712643679
"91",0.0721143484115601,0.00487625598907471,0.000957792207792208
"92",0.0683667734265327,0.00761032104492188,0.000897435897435892
"93",0.0646845102310181,0.0115635395050049,0.000843023255813951
"94",0.06263068318367,0.0144945383071899,0.000824742268041238
"95",0.0616254098713398,0.0161402225494385,0.000785340314136128
"96",0.0594258084893227,0.0203542709350586,0.000737327188940093
"97",0.0556672774255276,0.0297777652740479,0.000694444444444438
"98",0.0497029535472393,0.0523594617843628,0.000619047619047623
"99",0.0464357696473598,0.0698893070220947,0.00056372549019608
"100",0.0443344116210938,0.0835374593734741,0.000536779324055665
"101",0.043608795851469,0.0887081623077393,0.000520833333333304
"102",0.0424111522734165,0.0978615283966064,0.000481927710843377
"103",0.0416531264781952,0.103978633880615,0.000489130434782608
"104",0.0410134568810463,0.10938560962677,0.00050359712230216
"105",0.0415709652006626,0.104660630226135,0.000520231213872832
"106",0.0432828366756439,0.0910985469818115,0.000548780487804877
"107",0.046794205904007,0.0677609443664551,0.000587002096436061
"108",0.0511385090649128,0.0459306240081787,0.000597484276729564
"109",0.0583097450435162,0.0228455066680908,0.00062737642585551
"110",1,1,NA
"111",1,1,NA
"112",1,1,NA
"113",1,1,NA
"114",1,1,NA
"115",1,1,NA
"116",1,1,NA
"117",1,1,NA
"118",1,1,NA
"119",1,1,NA
"120",0.0848272815346718,0.000928163528442383,0.00102822580645162
"121",0.0840384736657143,0.0010368824005127,0.00102713178294574
"122",0.0812802091240883,0.00151050090789795,0.00100877192982456
"123",0.0786503627896309,0.00213813781738281,0.001
"124",0.077223151922226,0.00257420539855957,0.00099673202614379
"125",1,1,NA
"126",1,1,NA
"127",0.0997953116893768,9.79900360107422e-05,0.00116719242902207
"128",0.0995138734579086,0.000102400779724121,0.0011858407079646
"129",0.0992640778422356,0.000106692314147949,0.00120401337792642
"130",0.0983977913856506,0.000122427940368652,0.00121293800539083
"131",0.0978292897343636,0.000133991241455078,0.00121621621621621
"132",0.0980305150151253,0.000129938125610352,0.00120343839541547
"133",0.0561960302293301,0.0282189846038818,0.000984251968503937
"134",1,1,NA
"135",1,1,NA
"136",1,1,NA
"137",1,1,NA
"138",1,1,NA
"139",1,1,NA
"140",1,1,NA
"141",1,1,NA
"142",1,1,NA
"143",1,1,NA
"144",1,1,NA
"145",0.0461124554276466,0.0718330144882202,0.000713012477718358
"146",0.0552708990871906,0.030949592590332,0.000766666666666668
"147",0.0636947005987167,0.012894868850708,0.000820512820512821
"148",0.0644973888993263,0.0118093490600586,0.00081666666666667
"149",0.0648007318377495,0.0114148855209351,0.000833333333333316
"150",0.0675164237618446,0.00839543342590332,0.000879120879120899
"151",0.0710296332836151,0.00555646419525146,0.00095092024539878
"152",0.07625962048769,0.00290799140930176,0.0010411622276029
"153",0.0803580954670906,0.00170695781707764,0.00111111111111102
"154",0.0807707607746124,0.00161445140838623,0.00113333333333333
"155",0.0791575983166695,0.0019991397857666,0.00113095238095238
"156",0.0777600854635239,0.00239729881286621,0.00112359550561797
